Date,Song,Artist,Spotify_Link
1985-10-05,Money for Nothing,Dire Straits,https://open.spotify.com/track/2anGJ6xLlXFOzq3w5TDjxs
1985-10-12,Oh Sheila,Ready for the World,https://open.spotify.com/track/0X0eYBziXhZiyIwp4N20mN
1985-10-19,Take on Me,A-ha,https://open.spotify.com/track/2WfaOiMkCvy7F5fcp2zZ8L
1985-10-26,Saving All My Love for You,Whitney Houston,https://open.spotify.com/track/1n2wszmJyVkw6FHqyLnQsY
